书籍名称,国家,作者,时间,书籍评分,评分人数
大明王朝1566,美国,刘和平,2016/7/1,9.5,14320
雕刻时光,俄罗斯,安德烈·塔可夫斯基,2016/5/1,9.5,9979
情书,日本,岩井俊二,2004/7/1,8.6,109437
李光耀观天下,,李光耀,2015/6/1,9.2,15658
在细雨中呼喊,中国,余华,2012/11/1,8.8,80196
万物有灵且美,,,,8.9,23733
理想国,古希腊,柏拉图,1986/8/1,8.8,38782
骆驼祥子,老舍,老舍,1962/10/1,8.6,214031
雷雨,中国,,,8.7,81040
从零开始的女性主义,日本,上野千鹤子,2021/9/1,8.7,71509
一千零一夜,,,,8.8,60547
倚天屠龙记,,,,8.7,63499
水浒传（全二册）,明,施耐庵,1997/1/1,8.7,80426
尼罗河上的惨案,英,阿加莎·克里斯蒂,2006/5/1,8.7,51465
九州·缥缈录,,江南,2005/6/1,8.8,32307
足利女童连续失踪事件,日,清水洁,2022/7/1,9,25335
雨季不再来,,三毛,2007/7/1,8.8,56514
送你一颗子弹,,刘瑜,2010/1/1,8.6,144871
罗生门,日本,芥川龙之介,2008/7/1,8.7,72573
荒原狼,,,,9,24551
孙子兵法,中国,孙武,2006/7/1,9.4,14239
孩子你慢慢来,中国,龙应台,2009/12/1,8.7,80929
最好的我们,,,,8.8,73834
父权制与资本主义,日嗯,上野千鹤子,2020/3/1,9.2,19449
当呼吸化为空气,美国,保罗·卡拉尼什,2016/12/1,8.9,30747
银河帝国：基地七部曲: 百万册纪念版,美国,艾萨克·阿西莫夫,2015/10/1,9.5,17055
浮生六记,,,,8.7,72582
帷幕: 阿加莎·克里斯蒂作品33,,,,9.1,17906
不存在的骑士,意大利,伊塔洛·卡尔维诺,2012/4/1,8.9,26928
野火集: 二十年纪念版,中国,龙应台,2005/8/1,8.8,35534
庄子,中国,孙通海,2007/4/1,9.4,12566
渴望生活: 梵高传,美国,欧文·斯通,2008/4/1,9.1,12044
跨越边界的社区（修订版）: 北京“浙江村”的生活史,中国,项飙,2018/3/1,9.5,10479
你好，旧时光（上 下）,中国,八月长安,2009/12/1,8.7,50301
包法利夫人,,,,9.1,26157
银河系漫游指南,英国,道格拉斯·亚当斯,2005/6/1,8.8,23062
现代艺术150年: 一个未完成的故事,英国,威尔·贡培兹,2017/3/1,9.1,15467
论语,中国,孔子,2006/12/1,9.1,24938
你一生的故事: 特德·姜科幻小说集,美国,特德·姜,2015/5/1,8.7,37793
看不见的女性,,卡罗琳·克里亚多·佩雷斯,2022/8/1,9.2,17731
会饮篇,古希腊,柏拉图,2013/1/1,9.3,12467
金锁记,中国,张爱玲,2005/6/1,8.6,64520
解忧杂货店,日本,东野圭吾,2014/5/1,8.5,767402
显微镜下的大明,中国,马伯庸,2019/1/1,8.7,49610
分成两半的子爵,意大利,伊塔洛·卡尔维诺,2012/4/1,8.8,30517
挽救计划,,,,9.1,13473
象棋的故事,奥,斯蒂芬·茨威格,2007/7/1,9.1,13484
坟,鲁迅,鲁迅,2006/12/1,9.6,12846
黑箱：日本之耻,日本,伊藤诗织,2019/4/1,8.9,24266
哈姆莱特,英国,莎士比亚,2001/1/1,8.7,51801
时间的秩序,意大利,卡洛·罗韦利,2019/6/1,8.9,23177
二手时间,白俄罗斯,S. A. 阿列克谢耶维奇,2016/1/1,8.9,26410
奥斯维辛: 一部历史,英国,劳伦斯·里斯,2016/9/1,9.5,10563
顾城的诗,中国,,,8.8,27107
规训与惩罚: 监狱的诞生,法国,米歇尔·福柯,2003/1/1,9.3,11516
目送,中国,龙应台,2009/10/1,8.6,213207
上学记,中国,何兆武,2006/8/1,8.9,14297
总统是靠不住的: 近距离看美国之二,中国,,,8.8,21529
枪炮、病菌与钢铁: 人类社会的命运,美国,贾雷德·戴蒙德,2006/4/1,8.7,53692
火星救援,,,,8.9,21041
贾想 I: 贾樟柯电影手记1996—2008,中国,贾樟柯,2017/6/1,9.1,14334
