bookname,author,year,score,population,url,comment
圣母,[日] 秋吉理香子,2019,8.1,58121,https://book.douban.com/subject/30475757/,
上升的一切必将汇合,[美] 弗兰纳里·奥康纳,2024,8.2,548,https://book.douban.com/subject/36937097/,
天鹅旅馆,张悦然,2024,7.6,483,https://book.douban.com/subject/36977541/,
带小狗的女士,[俄罗斯] 契诃夫,2024,8.8,236,https://book.douban.com/subject/36784945/,
佐丽,[美]莱尔德·亨特,2024,8.5,1292,https://book.douban.com/subject/36744522/,
四世同堂,老舍,2008,9.4,42803,https://book.douban.com/subject/3183775/,
五号屠场,[美] 库尔特·冯内古特,2022,8.6,8157,https://book.douban.com/subject/35815592/,
夏天、烟火和我的尸体,[日] 乙一,2019,7.2,48098,https://book.douban.com/subject/34778574/,
继承之战,[美]詹姆斯·B.斯图尔特、[美]蕾切尔·艾布拉姆斯,2024,8.7,40,https://book.douban.com/subject/36975859/,
一把扭曲的匕首,[英] 安东尼·霍洛维茨,2024,7.5,659,https://book.douban.com/subject/36866221/,
球状闪电,莫言,2024,7.3,82,https://book.douban.com/subject/36978592/,
自然故事,[意大利] 普里莫·莱维,2024,8.5,100,https://book.douban.com/subject/36895890/,
幸福世界,[美] 乔治·桑德斯,2024,7.4,17,https://book.douban.com/subject/37022254/,
仿生人会梦见电子羊吗？,[美] 菲利普·迪克,2017,8.7,26584,https://book.douban.com/subject/27041533/,
紫云村,史杰鹏,2024,8.8,60,https://book.douban.com/subject/37078048/,
天上掉下了三个苹果,[俄]奈琳·阿布加良,2024,8.9,85,https://book.douban.com/subject/36425102/,
安德森教授的夜晚,达格·索尔斯塔,2024,7.7,18,https://book.douban.com/subject/37109641/,
羊奶煮羊羔,[俄]尤里·波利亚科夫,2024,9.1,43,https://book.douban.com/subject/36528801/,
佩珀尔幻象,[日] 伊坂幸太郎,2024,7.0,413,https://book.douban.com/subject/36711035/,
宋慈洗冤笔记 3,巫童,2024,7.8,2076,https://book.douban.com/subject/36809032/,
老实好人,顾湘,2023,7.8,1641,https://book.douban.com/subject/36506706/,
银河系搭车客指南,[英] 道格拉斯·亚当斯,2011,8.7,21353,https://book.douban.com/subject/6265745/,
疼痛部,[荷] 杜布拉夫卡·乌格雷西奇,2023,8.6,8214,https://book.douban.com/subject/36206462/,
巨人的陨落,[英] 肯·福莱特,2016,8.9,86545,https://book.douban.com/subject/26698660/,
変な家 2,雨穴,2023,8.4,1069,https://book.douban.com/subject/36685230/,
马可瓦尔多,[意] 伊塔洛·卡尔维诺,2020,8.9,22330,https://book.douban.com/subject/34799583/,
孤岛的来访者,[日] 方丈贵惠,2023,7.7,5832,https://book.douban.com/subject/36284336/,
时钟馆事件,[日] 今邑彩,2024,7.9,341,https://book.douban.com/subject/36995035/,
疯女人舞会,[法] 维多利亚·马斯,2024,8.2,110,https://book.douban.com/subject/36890681/,
晚熟的人,莫言,2020,8.0,21099,https://book.douban.com/subject/35141940/,
如父如子,[日] 是枝裕和、[日] 佐野晶,2018,8.9,27623,https://book.douban.com/subject/27611824/,
罪与罚,[俄] 陀思妥耶夫斯基,2021,9.5,11330,https://book.douban.com/subject/35406615/,
飘,[美国] 玛格丽特·米切尔,2000,9.3,217266,https://book.douban.com/subject/1068920/,
爱，鸡尾酒与生化危机,[韩] 赵艺恩,2023,7.6,4858,https://book.douban.com/subject/36496555/,
隐墙,[奥地利] 玛尔伦·豪斯霍费尔,2024,8.8,1318,https://book.douban.com/subject/36698238/,
丰乳肥臀,莫言,2017,8.8,21854,https://book.douban.com/subject/26904658/,
情人,[法] 玛格丽特·杜拉斯,2005,8.1,152818,https://book.douban.com/subject/1400705/,
云边有个小卖部,张嘉佳,2018,7.4,93500,https://book.douban.com/subject/30254298/,
大宋悬疑录：貔貅刑,记无忌,2024,9.2,155,https://book.douban.com/subject/37008516/,
黑暗的左手,[美] 厄休拉·勒古恩,2024,8.4,205,https://book.douban.com/subject/37022692/,
繁花,金宇澄,2013,8.6,43752,https://book.douban.com/subject/22714154/,
鹿川有许多粪,李沧东,2021,8.9,36847,https://book.douban.com/subject/35517022/,
如果我们无法以光速前行,[韩] 金草叶,2022,8.5,6599,https://book.douban.com/subject/35802914/,
潮汐图,林棹,2022,8.4,6151,https://book.douban.com/subject/35653884/,
情书,[日] 岩井俊二,2018,8.9,14631,https://book.douban.com/subject/30230525/,
白,[韩国] 韩江、陈允然绘,2022,7.3,5579,https://book.douban.com/subject/35965039/,
儿女风云录,王安忆,2024,8.1,150,https://book.douban.com/subject/37022202/,
平原上的摩西,双雪涛,2021,8.2,24069,https://book.douban.com/subject/35192665/,
造梦的雨果,[美] 布莱恩·赛兹尼克,2024,8.4,105,https://book.douban.com/subject/36937100/,
归宿,[瑞典]妮妮·霍克维斯,2024,9.1,100,https://book.douban.com/subject/37087757/,
你的夏天还好吗？,金爱烂,2017,8.7,29381,https://book.douban.com/subject/26953294/,
巴别塔,[美]匡灵秀,2023,8.0,5546,https://book.douban.com/subject/36463571/,
皮囊,蔡崇达,2014,7.5,124886,https://book.douban.com/subject/26278687/,
第七天,余华,2023,8.7,13210,https://book.douban.com/subject/36174516/,
一个人消失在世上,[意] 亚历山德罗·巴里科,2024,8.3,505,https://book.douban.com/subject/36739583/,
宋慈洗冤笔记 4,巫童,2024,7.3,2052,https://book.douban.com/subject/36909085/,
东方快车谋杀案,[英] 阿加莎·克里斯蒂,2006,9.1,143863,https://book.douban.com/subject/1827374/,
冷到下雪,[澳] 欧健梅,2024,7.5,2177,https://book.douban.com/subject/36952082/,
鄙视,[意] 阿尔贝托·莫拉维亚,2021,8.0,16915,https://book.douban.com/subject/35482123/,
傲慢与偏见,简•奥斯丁(Jane Austen),2010,9.0,36608,https://book.douban.com/subject/4881639/,
二度遭到杀害的她,[日] 秋尾秋,2024,7.3,177,https://book.douban.com/subject/36939346/,
基督山伯爵,[法]大仲马,2018,9.2,14320,https://book.douban.com/subject/30286914/,
沼の国,宮田光,2021,7.5,204,https://book.douban.com/subject/35617738/,
